"Площадь, м²",Комнаты,Местоположение,Состояние,Тип дома,Этаж,Год постройки,Потолки,Цена
76.0,3.0,1,4,2,0,2015.0,2.86,35000000
34.3,1.0,1,4,2,0,2023.0,2.86,21000000
40.0,1.0,1,4,2,11,2014.0,2.86,23000000
20.0,1.0,1,4,2,11,2011.0,2.86,13000000
47.0,1.0,1,2,2,27,2010.0,2.86,23200000
55.0,2.0,1,4,2,24,2019.0,2.86,31000000
60.0,3.0,1,2,2,24,2018.0,2.86,22400000
67.0,2.0,1,5,2,0,2022.0,2.86,29000000
67.0,2.0,1,5,2,0,2022.0,2.86,29000000
50.0,2.0,1,5,2,27,2019.0,2.86,26000000
68.0,2.0,1,2,2,27,2012.0,2.86,34300000
51.0,1.0,1,4,2,28,2010.0,2.86,23000000
62.0,2.0,1,4,2,0,2019.0,2.86,33500000
38.1,1.0,1,4,2,0,2017.0,2.86,24500000
20.0,1.0,1,4,2,11,2021.0,2.86,13500000
50.0,1.0,1,4,2,24,2009.0,2.86,27800000
18.0,1.0,1,4,2,0,1997.0,2.86,10500000
45.0,1.0,1,4,2,24,2013.0,2.86,24000000
134.0,4.0,1,4,2,3,2016.0,2.86,59000000
